country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Cote D'Ivoire,Men,No Education,1504,38,Married,5,1,Informal/no insurance employee,yes,,No,,,,No,,,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,No,No,,,,,yes,No,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,yes,,No,No,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),0
Cote D'Ivoire,Men,No Education,1985,39,Single,10,1,Own Account Worker,yes,,No,,,yes,No,,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,No,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Women,Secondary,1867,23,Single,4,1,Own Account Worker,yes,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,No,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,yes,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,18-24,18-24,Secondary Education or Less,1,1,1,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Primary,294,33,Single,8,1,Own Account Worker,yes,,No,,yes,yes,No,yes,yes,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,yes,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,yes,,yes,No,No,yes,No,yes,No,No,,,,,,,,,,,,,WCARO,8 and more,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,Tertiary,388,21,Single,3,1,Did not work (not in the labor force),,,,,yes,No,No,No,No,No,yes,yes,,,,,,No,Internet and social media ,,yes,No,No,,,,,No,Yes,Yes,yes,,,,,,,,,,,,0,,,,No,,,,,,No,yes,,,,,yes,Crime has increased,No,No,yes,yes,No,No,No,No,,,,,,,,,,,,,WCARO,2-3,18-24,18-24,Tertiary Education and More,0,0,1,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Men,Tertiary,859,22,Single,1,0,Not employed,,,,,No,No,No,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,No,,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,,No,,,,,yes,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,1,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),0
Cote D'Ivoire,Women,Tertiary,324,26,Single,14,1,Not employed,,,,,yes,yes,yes,No,No,No,yes,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,No,No,No,,,,,No,No,,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,25-29,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Men,No Education,1335,34,Single,9,0,Own Account Worker,yes,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,8 and more,30-34,25-34,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Men,Primary,1229,54,Single,11,1,Own Account Worker,No,,No,,No,No,No,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,No,No,No,,,,,yes,Yes,Yes,No,,,,,,,,,,,,0,,,,No,,,,,,yes,yes,,,,,yes,I fear discrimination and being side-lined at home due to the nature of my work,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,50-54,45-59,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,2404,25,Married,11,1,Did not work (not in the labor force),,,,,yes,yes,No,No,No,No,yes,yes,,,,,,No,Radio/Television/Newspaper,,yes,No,No,,,,,No,No,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,25-29,25-34,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
