country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Albania,Men,Secondary,1653,40,Married,4,1,Not employed,,No,,,yes,No,,No,No,yes,yes,,yes,,,,yes,,Internet and social media ,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,40-44,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Men,Primary,1124,57,Married,9,1,Not employed,,No,,,yes,No,yes,No,No,yes,yes,yes,yes,yes,yes,yes,,,Radio/Television/Newspaper,yes,yes,yes,No,No,yes,yes,No,yes,No,No,No,yes,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,8 and more,55-60,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,1785,52,Married,4,0,Formal employee,,No,No,No change,yes,,yes,yes,,yes,,yes,yes,yes,,yes,,,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,Yes,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,50-54,45-59,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Women,Tertiary,1056,24,Single,4,0,,,No,yes,,No,,No,No,,yes,,yes,,,,,,,Internet and social media ,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Albania,Men,Primary,1723,60,Married,5,1,Other,,yes,,,yes,yes,yes,yes,No,yes,yes,yes,yes,yes,,yes,yes,,Health centre/Family doctor,yes,yes,yes,No,No,No,No,No,No,No,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,>=60,>60,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,1570,33,Married,4,1,Formal employee,,No,No,No change,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,yes,No,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,Yes,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,30-34,25-34,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Albania,Men,Primary,1665,43,Married,5,1,,,No,yes,,No,yes,,No,yes,yes,yes,,yes,,,,,,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,40-44,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,3171,23,Single,3,0,Formal employee,,,No,Decreased,yes,No,yes,yes,No,yes,yes,yes,,,,,yes,,Internet and social media ,yes,No,No,No,No,No,yes,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,2-3,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),1
Albania,Women,Tertiary,1827,55,Married,5,0,Own Account Worker,,No,No,Decreased,yes,,No,yes,,yes,,yes,yes,No,No,No,yes,,Radio/Television/Newspaper,yes,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,55-60,45-59,Tertiary Education and More,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Men,Primary,2161,64,Married,4,0,Did not work (not in the labor force),,yes,,,yes,,,No,,yes,,,yes,yes,No,yes,yes,,Radio/Television/Newspaper,yes,yes,yes,yes,No,yes,yes,No,yes,Yes,No,No,No,No,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,>=60,>60,Secondary Education or Less,0,0,0,Partnered without children,0,0,Matched (3),1
Albania,Men,Secondary,1122,52,Married,5,1,Formal employee,,No,No,No change,yes,,No,No,,yes,,yes,yes,yes,,yes,yes,,Health centre/Family doctor,yes,yes,yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,50-54,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Albania,Women,Tertiary,3117,37,Married,4,1,Formal employee,No,No,No,Decreased,No,No,No,No,No,yes,yes,yes,yes,yes,yes,,yes,No,Public service announcement/speaker,No,yes,yes,yes,yes,yes,No,No,yes,,No,yes,No,No,No,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,4-5,35-39,35-44,Tertiary Education and More,0,0,0,Partnered with children,0,0,Matched (3),1
Albania,Men,Secondary,1611,30,Married,6,1,Not employed,,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,No,No,No,yes,,Radio/Television/Newspaper,yes,yes,No,No,No,yes,No,No,No,No,No,No,No,yes,yes,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECARO,6-7,30-34,25-34,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
