,country,year,wage,sex,ISO,currency,local_currency,break
133,Andorra,2004,1575.55,T,AND,Local,Euro (EUR),False
134,Andorra,2003,1494.85,T,AND,Local,Euro (EUR),False
135,Andorra,2002,1412.68,T,AND,Local,Euro (EUR),False
136,Andorra,2001,1349.03,T,AND,Local,Euro (EUR),False
137,Andorra,2000,1249.0,T,AND,Local,Euro (EUR),False
138,Andorra,1999,1185.4,T,AND,Local,Euro (EUR),False
139,Andorra,1998,1145.8,T,AND,Local,Euro (EUR),False
140,Netherlands Antilles,1988,1679.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
141,Netherlands Antilles,1987,1577.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
142,Netherlands Antilles,1986,1664.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
143,Netherlands Antilles,1986,1936.0,M,ANT,Local,Netherlands Antillean guilder (ANG),False
144,Netherlands Antilles,1986,1251.0,F,ANT,Local,Netherlands Antillean guilder (ANG),False
145,Netherlands Antilles,1985,1863.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
146,Netherlands Antilles,1985,2099.0,M,ANT,Local,Netherlands Antillean guilder (ANG),False
147,Netherlands Antilles,1985,1501.0,F,ANT,Local,Netherlands Antillean guilder (ANG),False
148,Netherlands Antilles,1984,1780.0,T,ANT,Local,Netherlands Antillean guilder (ANG),True
149,Netherlands Antilles,1984,2076.0,M,ANT,Local,Netherlands Antillean guilder (ANG),True
150,Netherlands Antilles,1984,1432.0,F,ANT,Local,Netherlands Antillean guilder (ANG),True
151,Netherlands Antilles,1983,1761.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
152,Netherlands Antilles,1983,1931.0,M,ANT,Local,Netherlands Antillean guilder (ANG),False
153,Netherlands Antilles,1983,1397.0,F,ANT,Local,Netherlands Antillean guilder (ANG),False
154,Netherlands Antilles,1982,1135.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
155,Netherlands Antilles,1981,1306.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
156,Netherlands Antilles,1980,982.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
157,Netherlands Antilles,1978,896.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
158,Netherlands Antilles,1977,902.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
159,Netherlands Antilles,1976,652.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
160,Netherlands Antilles,1975,601.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
161,Netherlands Antilles,1974,520.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
162,Netherlands Antilles,1973,449.0,T,ANT,Local,Netherlands Antillean guilder (ANG),False
163,United Arab Emirates,2009,7450.614,T,ARE,Local,United Arab Emirates dirham (AED),False
164,United Arab Emirates,2009,3017.269,T,ARE,PPP,United Arab Emirates dirham (AED),False
165,United Arab Emirates,2009,2028.758,T,ARE,USD,United Arab Emirates dirham (AED),False
166,United Arab Emirates,2009,7917.571,M,ARE,Local,United Arab Emirates dirham (AED),False
167,United Arab Emirates,2009,3206.372,M,ARE,PPP,United Arab Emirates dirham (AED),False
168,United Arab Emirates,2009,2155.908,M,ARE,USD,United Arab Emirates dirham (AED),False
169,United Arab Emirates,2009,5550.968,F,ARE,Local,United Arab Emirates dirham (AED),False
170,United Arab Emirates,2009,2247.971,F,ARE,PPP,United Arab Emirates dirham (AED),False
171,United Arab Emirates,2009,1511.496,F,ARE,USD,United Arab Emirates dirham (AED),False
172,Argentina,2023,190754.004,T,ARG,Local,Argentine peso (ARS),False
173,Argentina,2023,1239.416,T,ARG,PPP,Argentine peso (ARS),False
174,Argentina,2023,643.878,T,ARG,USD,Argentine peso (ARS),False
175,Argentina,2023,214733.502,M,ARG,Local,Argentine peso (ARS),False
176,Argentina,2023,1395.222,M,ARG,PPP,Argentine peso (ARS),False
177,Argentina,2023,724.819,M,ARG,USD,Argentine peso (ARS),False
178,Argentina,2023,163516.913,F,ARG,Local,Argentine peso (ARS),False
179,Argentina,2023,1062.444,F,ARG,PPP,Argentine peso (ARS),False
180,Argentina,2023,551.941,F,ARG,USD,Argentine peso (ARS),False
181,Argentina,2022,83060.662,T,ARG,Local,Argentine peso (ARS),False
182,Argentina,2022,1210.281,T,ARG,PPP,Argentine peso (ARS),False
183,Argentina,2022,635.912,T,ARG,USD,Argentine peso (ARS),False
