,country,year,ratio,female_share,balanced_ratio
790,Guatemala,2018,0.976,0.299,0.988
1451,Panama,1998,0.978,0.344,0.989
1460,Panama,2012,0.978,0.41,0.989
218,Belize,2015,0.978,0.364,0.989
1115,Sri Lanka,2007,0.978,0.068,0.988
1452,Panama,1999,0.979,0.333,0.989
1511,Philippines,2007,0.981,0.398,0.99
567,Ecuador,2011,0.982,0.342,0.991
1969,Zambia,2023,0.983,0.329,0.991
999,Jordan,2023,0.984,0.186,0.991
1474,Peru,1999,0.984,0.394,0.992
1464,Panama,2016,0.985,0.42,0.992
1791,Thailand,2015,0.985,0.45,0.992
1949,South Africa,2003,0.986,0.337,0.992
1834,"Tanzania, United Republic of",2010,0.988,0.308,0.994
673,Fiji,2005,0.991,0.297,0.995
994,Jordan,2018,0.991,0.178,0.995
572,Ecuador,2016,0.993,0.346,0.996
1509,Philippines,2005,0.993,0.397,0.996
222,Belize,2019,0.994,0.38,0.997
987,Jamaica,2014,0.994,0.52,0.997
1603,Qatar,2001,0.994,0.117,0.997
387,Colombia,2007,0.994,0.398,0.997
188,Bahrain,2003,0.995,-0.0,0.997
425,Costa Rica,2008,0.996,0.348,0.998
986,Jamaica,2013,0.996,0.515,0.998
1512,Philippines,2008,0.996,0.398,0.998
1513,Philippines,2009,0.998,0.4,0.999
1948,South Africa,2002,0.999,0.336,0.999
422,Costa Rica,2005,0.999,0.326,0.999
573,Ecuador,2017,1.001,0.345,1.0
1804,Timor-Leste,2010,1.001,0.217,1.0
1792,Thailand,2016,1.001,0.452,1.0
1683,El Salvador,2017,1.002,0.362,1.001
400,Colombia,2021,1.003,0.41,1.001
823,Honduras,2022,1.003,0.328,1.001
383,Colombia,2002,1.004,0.412,1.002
1682,El Salvador,2016,1.004,0.367,1.002
1685,El Salvador,2019,1.004,0.357,1.002
571,Ecuador,2015,1.004,0.341,1.002
569,Ecuador,2013,1.005,0.34,1.002
1799,Thailand,2023,1.005,0.471,1.002
789,Guatemala,2017,1.007,0.283,1.003
791,Guatemala,2019,1.007,0.301,1.003
792,Guatemala,2021,1.007,0.304,1.003
438,Costa Rica,2022,1.008,0.436,1.004
1798,Thailand,2022,1.009,0.468,1.004
221,Belize,2018,1.01,0.36,1.005
510,Djibouti,2017,1.011,0.184,1.005
1793,Thailand,2017,1.011,0.454,1.005
1803,Timor-Leste,2007,1.011,0.172,1.005
1684,El Salvador,2018,1.011,0.365,1.005
1514,Philippines,2010,1.014,0.4,1.007
574,Ecuador,2018,1.014,0.341,1.007
1681,El Salvador,2015,1.014,0.366,1.007
1507,Philippines,2003,1.014,0.385,1.007
1794,Thailand,2018,1.014,0.454,1.007
201,Bahamas,2023,1.015,0.514,1.007
570,Ecuador,2014,1.016,0.338,1.007
1678,El Salvador,2012,1.017,0.37,1.008
568,Ecuador,2012,1.018,0.344,1.009
1773,Eswatini,1995,1.02,,1.01
1508,Philippines,2004,1.021,0.378,1.01
1466,Panama,2018,1.022,0.421,1.011
1795,Thailand,2019,1.024,0.456,1.011
1944,Samoa,2022,1.025,0.407,1.012
1363,Nicaragua,2005,1.027,0.335,1.013
578,Ecuador,2022,1.027,0.332,1.013
1797,Thailand,2021,1.03,0.458,1.014
1515,Philippines,2011,1.03,0.398,1.015
1676,El Salvador,2010,1.031,0.37,1.015
1615,Qatar,2022,1.031,0.267,1.015
1796,Thailand,2020,1.031,0.456,1.015
1471,Panama,2023,1.031,0.439,1.015
995,Jordan,2019,1.033,0.154,1.016
1680,El Salvador,2014,1.034,0.381,1.016
1465,Panama,2017,1.034,0.424,1.016
601,Egypt,2012,1.036,0.225,1.017
1506,Philippines,2001,1.036,0.384,1.017
575,Ecuador,2019,1.037,0.342,1.018
600,Egypt,2011,1.038,0.216,1.018
1679,El Salvador,2013,1.039,0.373,1.019
1677,El Salvador,2011,1.039,0.368,1.019
1768,Eswatini,1990,1.039,,1.019
1769,Eswatini,1991,1.04,,1.019
182,Bahrain,1994,1.042,0.1,1.02
997,Jordan,2021,1.042,0.167,1.02
183,Bahrain,1998,1.043,0.09,1.021
807,Honduras,2006,1.044,0.341,1.021
436,Costa Rica,2020,1.044,0.394,1.021
579,Ecuador,2023,1.045,0.353,1.022
1516,Philippines,2012,1.046,0.395,1.022
1095,Lebanon,2019,1.047,0.286,1.023
1522,Philippines,2018,1.047,0.368,1.023
1520,Philippines,2016,1.052,0.378,1.025
809,Honduras,2008,1.052,0.344,1.025
1096,Liberia,2010,1.053,0.229,1.026
1521,Philippines,2017,1.053,0.371,1.025
996,Jordan,2020,1.053,0.169,1.026
1519,Philippines,2015,1.054,0.394,1.026
1517,Philippines,2013,1.054,0.394,1.026
1518,Philippines,2014,1.054,0.396,1.026
787,Guatemala,2015,1.055,0.284,1.026
998,Jordan,2022,1.058,0.16,1.028
1523,Philippines,2019,1.059,0.375,1.028
1526,Philippines,2022,1.061,0.386,1.029
1970,Zimbabwe,2021,1.062,0.355,1.03
1040,Kenya,1997,1.063,0.321,1.03
382,Congo,2009,1.063,0.572,1.03
1963,Zambia,2017,1.064,0.29,1.031
1771,Eswatini,1993,1.071,,1.034
818,Honduras,2017,1.072,0.334,1.034
806,Honduras,2005,1.076,0.342,1.036
181,Bahrain,1993,1.076,0.111,1.036
824,Honduras,2023,1.077,0.317,1.037
577,Ecuador,2021,1.08,0.329,1.038
1525,Philippines,2021,1.08,0.371,1.038
808,Honduras,2007,1.087,0.334,1.042
1524,Philippines,2020,1.087,0.378,1.041
189,Bahrain,2004,1.095,0.095,1.045
1468,Panama,2020,1.095,0.45,1.045
1469,Panama,2021,1.101,0.431,1.048
1058,Cambodia,2000,1.101,0.411,1.048
1943,Samoa,2017,1.104,0.377,1.049
1470,Panama,2022,1.104,0.416,1.049
820,Honduras,2019,1.112,0.34,1.053
816,Honduras,2015,1.129,0.345,1.06
810,Honduras,2009,1.134,0.323,1.063
811,Honduras,2010,1.134,0.339,1.063
813,Honduras,2012,1.134,0.344,1.062
817,Honduras,2016,1.136,0.346,1.063
812,Honduras,2011,1.136,0.342,1.063
1260,Marshall Islands,2019,1.138,0.302,1.064
180,Bahrain,1992,1.142,0.088,1.066
1365,Nicaragua,2014,1.145,0.347,1.067
819,Honduras,2018,1.157,0.332,1.073
190,Bahrain,2005,1.162,0.117,1.075
822,Honduras,2021,1.164,0.354,1.075
1099,Liberia,2017,1.164,0.241,1.075
576,Ecuador,2020,1.177,0.324,1.081
815,Honduras,2014,1.178,0.349,1.081
814,Honduras,2013,1.195,0.34,1.089
821,Honduras,2020,1.213,0.355,1.096
179,Bahrain,1991,1.247,0.086,1.11
191,Bahrain,2006,1.264,0.113,1.116
121,Burundi,2014,1.269,0.248,1.118
178,Bahrain,1990,1.311,0.085,1.134
199,Bahrain,2020,1.383,0.131,1.161
1946,South Africa,2000,1.385,0.378,1.161
198,Bahrain,2019,1.399,0.129,1.166
192,Bahrain,2007,1.399,0.097,1.166
1686,El Salvador,2020,1.435,0.349,1.178
193,Bahrain,2008,1.451,0.093,1.184
