,ISO,country,year,sex,avg monthly earnings,local currency
235,ARG,Argentina,2014,T,6460.093,Argentine peso (ARS)
236,ARG,Argentina,2014,T,1003.112,Argentine peso (ARS)
237,ARG,Argentina,2014,T,799.984,Argentine peso (ARS)
238,ARG,Argentina,2014,M,7254.33,Argentine peso (ARS)
239,ARG,Argentina,2014,M,1126.44,Argentine peso (ARS)
240,ARG,Argentina,2014,M,898.338,Argentine peso (ARS)
241,ARG,Argentina,2014,F,5446.116,Argentine peso (ARS)
242,ARG,Argentina,2014,F,845.664,Argentine peso (ARS)
243,ARG,Argentina,2014,F,674.418,Argentine peso (ARS)
244,ARG,Argentina,2013,T,4981.156,Argentine peso (ARS)
245,ARG,Argentina,2013,T,1082.78,Argentine peso (ARS)
246,ARG,Argentina,2013,T,912.408,Argentine peso (ARS)
247,ARG,Argentina,2013,M,5594.005,Argentine peso (ARS)
248,ARG,Argentina,2013,M,1215.998,Argentine peso (ARS)
249,ARG,Argentina,2013,M,1024.665,Argentine peso (ARS)
250,ARG,Argentina,2013,F,4198.434,Argentine peso (ARS)
251,ARG,Argentina,2013,F,912.636,Argentine peso (ARS)
252,ARG,Argentina,2013,F,769.035,Argentine peso (ARS)
253,ARG,Argentina,2012,T,3925.666,Argentine peso (ARS)
254,ARG,Argentina,2012,T,1066.904,Argentine peso (ARS)
255,ARG,Argentina,2012,T,865.268,Argentine peso (ARS)
256,ARG,Argentina,2012,M,4410.081,Argentine peso (ARS)
257,ARG,Argentina,2012,M,1198.557,Argentine peso (ARS)
258,ARG,Argentina,2012,M,972.04,Argentine peso (ARS)
259,ARG,Argentina,2012,F,3304.936,Argentine peso (ARS)
260,ARG,Argentina,2012,F,898.204,Argentine peso (ARS)
261,ARG,Argentina,2012,F,728.451,Argentine peso (ARS)
262,ARG,Argentina,2011,T,3150.631,Argentine peso (ARS)
263,ARG,Argentina,2011,T,996.668,Argentine peso (ARS)
264,ARG,Argentina,2011,T,766.551,Argentine peso (ARS)
265,ARG,Argentina,2011,M,3542.718,Argentine peso (ARS)
266,ARG,Argentina,2011,M,1120.701,Argentine peso (ARS)
267,ARG,Argentina,2011,M,861.946,Argentine peso (ARS)
268,ARG,Argentina,2011,F,2643.812,Argentine peso (ARS)
269,ARG,Argentina,2011,F,836.342,Argentine peso (ARS)
270,ARG,Argentina,2011,F,643.242,Argentine peso (ARS)
271,ARG,Argentina,2010,T,2418.527,Argentine peso (ARS)
272,ARG,Argentina,2010,M,2708.707,Argentine peso (ARS)
273,ARG,Argentina,2010,F,2047.072,Argentine peso (ARS)
274,ARG,Argentina,2009,T,1968.266,Argentine peso (ARS)
275,ARG,Argentina,2009,M,2201.785,Argentine peso (ARS)
276,ARG,Argentina,2009,F,1676.452,Argentine peso (ARS)
277,ARG,Argentina,2008,T,1636.195,Argentine peso (ARS)
278,ARG,Argentina,2008,M,1862.376,Argentine peso (ARS)
279,ARG,Argentina,2008,F,1348.002,Argentine peso (ARS)
280,ARG,Argentina,2007,T,1967.994,Argentine peso (ARS)
