,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
3561,HUN,2004,Hungary,145187.0,155183.0,133846.0,0.8625042691531933,False,0.468481979659746,0.5315180203402541,144514.5,0.9261769580215135
3564,HUN,2005,Hungary,459.119,503.244,414.874,0.8243992973587365,False,0.4993210365508656,0.5006789634491344,459.059,0.9037487556065779
3567,HUN,2006,Hungary,506.616,546.532,463.492,0.8480601318861475,False,0.4806840077071296,0.5193159922928704,505.01200000000006,0.9177841318622131
3570,HUN,2007,Hungary,633.315,666.16,597.694,0.8972228893959409,False,0.47972716384774794,0.5202728361522521,631.9269999999999,0.9458276035048353
3573,HUN,2008,Hungary,743.632,792.506,688.211,0.8683984726929512,False,0.4686130686993628,0.5313869313006372,740.3585,0.9295645285358377
3576,HUN,2009,Hungary,798.765,851.18,740.5,0.8699687492657253,False,0.473572461149259,0.526427538850741,795.8399999999999,0.9304634097305992
3579,HUN,2010,Hungary,720.388,764.583,672.845,0.8800156425136317,False,0.4817523817829031,0.518247618217097,718.7139999999999,0.9361790642731324
3582,HUN,2011,Hungary,760.199,813.923,702.568,0.8631873039587282,False,0.4824570068699209,0.5175429931300791,758.2455,0.9265706159812356
3585,HUN,2012,Hungary,774.353,824.028,719.728,0.8734266311338934,False,0.476270373921381,0.5237296260786191,771.8779999999999,0.9324375095546188
3588,HUN,2013,Hungary,760.44,819.942,694.844,0.8474306719255753,False,0.4756430958128825,0.5243569041871174,757.393,0.9174153972904424
3591,HUN,2014,Hungary,782.144,844.109,713.274,0.8450022449707324,False,0.47361180112355267,0.5263881988764474,778.6915,0.9159904788995386
3594,HUN,2015,Hungary,753.44,796.299,704.708,0.8849791347220076,False,0.4679389896387191,0.5320610103612808,750.5035,0.9389802978933475
3597,HUN,2016,Hungary,779.873,841.486,709.892,0.8436171249432552,False,0.4682052373208503,0.5317947626791497,775.6890000000001,0.9151760563834217
3600,HUN,2017,Hungary,837.408,893.318,774.36,0.866835774046868,False,0.46999781435464605,0.530002185645354,833.8389999999999,0.9286684839639308
3603,HUN,2018,Hungary,847.867,935.181,752.638,0.8048046314029049,False,0.478320176615921,0.5216798233840789,843.9095,0.891846815327947
3606,HUN,2019,Hungary,901.438,977.466,818.168,0.8370296255828847,False,0.47726901781566633,0.5227309821843337,897.817,0.911285930206267
3609,HUN,2020,Hungary,967.429,1036.499,889.642,0.8583143833230905,False,0.470321469184309,0.529678530815691,963.0705,0.9237558413428716
3612,HUN,2021,Hungary,829.992,899.209,749.279,0.8332645691935913,False,0.4616621089841927,0.5383378910158073,824.2439999999999,0.9090499900514897
3615,HUN,2022,Hungary,987.405,1071.28,891.799,0.8324611679486222,False,0.46731966057688556,0.5326803394231144,981.5395,0.9085716876396722
3618,HUN,2023,Hungary,1045.717,1139.164,942.742,0.8275735539395557,False,0.4757460976876311,0.5242539023123689,1040.953,0.9056528008469162
3629,IDN,1996,Indonesia,404770.879,450500.961,300633.805,0.6673322168562477,False,0.3051374511971121,0.6948625488028879,375567.38300000003,0.8004790048554349
3632,IDN,1997,Indonesia,464434.204,514341.206,353267.131,0.6868342004859708,False,0.3098388241559045,0.6901611758440955,433804.1685,0.8143470179678551
3635,IDN,1998,Indonesia,553069.117,616929.912,420141.547,0.6810199000368781,False,0.3245150951886817,0.6754849048113183,518535.7295,0.8102460893198682
3638,IDN,1999,Indonesia,677691.823,750401.068,525819.84,0.7007184056939535,False,0.3237547752655444,0.6762452247344556,638110.4539999999,0.8240263683252556
3641,IDN,2000,Indonesia,430196.73,481307.615,326035.028,0.6773942855651681,False,0.3291687604844248,0.6708312395155752,403671.32149999996,0.8076744882160276
3644,IDN,2001,Indonesia,590866.355,642106.357,479151.411,0.7462181393728206,False,0.3144427540112836,0.6855572459887165,560628.884,0.8546677216866337
3647,IDN,2002,Indonesia,691766.912,751114.126,561151.927,0.7470927620392004,False,0.31241591386294715,0.6875840861370528,656133.0265,0.8552410934004402
3650,IDN,2003,Indonesia,786859.657,852098.624,642182.877,0.7536485318863747,False,0.31078643661735367,0.6892135633826464,747140.7505,0.8595206145163943
3653,IDN,2004,Indonesia,840021.08,912644.785,676516.438,0.7412702610249396,False,0.3075602989758788,0.6924397010241212,794580.6115,0.8514132212751582
