ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Guyana,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,74712.503,,,Currency: GUY - Guyanese dollar (GYD),Repository: ILO-STATISTICS - Micro data processing
Honduras,HS - Continous Multi-Purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,11608.047,,,Currency: HND - Lempira (HNL),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter
"Hong Kong, China",LFS - General Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2016,12000.0,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Currency: HKG - Hong Kong dollar (HKD),Geographical coverage: Government controlled areas | Population coverage: Excluding institutional population
Hungary,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,942.742,,,Currency: HUN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Iceland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,5226.14,,,Currency: ISL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
India,LFS - Periodic Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,15058.111,,,Currency: IND - Indian rupee (INR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,LFS - National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,2307995.085,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Ireland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,3818.318,,,Currency: IRL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Isle of Man,SNA - Isle of Man National Income,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2016,2449.697,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: IMN - Manx pound (IMP),
Israel,HIES - Income Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,8670.0,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Currency: ISR - New Shekel (ILS),Employment definition: Including subsistence workers
Italy,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,2804.042,,,Currency: ITA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Jamaica,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2014,37040.375,,,Currency: JAM - Jamaican dollar (JMD),Repository: ILO-STATISTICS - Micro data processing
Japan,ES - Wage Structure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,253600.0,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time workers | Currency: JPN - Yen (JPY),"Data reference period: June | Geographical coverage: Total national, excluding some areas | Establishment size coverage: All establishments with at least 5 employees"
Jordan,LFS - Employment and Unemployment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,336.967,,,Currency: JOR - Jordanian dinar (JOD),Repository: ILO-STATISTICS - Micro data processing
Kazakhstan,ADM-EBR - Businesses and Organizations register,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,265762.0,,,Working time arrangement coverage: Full-time and part time workers | Currency: KAZ - Tenge (KZT),Institutional sector coverage: Public sector only | Reference group coverage: Wage earners / blue collar / production workers
Kenya,HS - Continuous household survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,411056.706,,,Currency: KEN - Kenyan shilling (KES),Repository: ILO-STATISTICS - Micro data processing
Kiribati,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,419.056,,,Currency: KIR - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Kosovo,HIES - Living Standards Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2000,414.351,,,Currency: KOS - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Kyrgyzstan,"ES - Survey of enterprises, institutions and organisations",Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,24954.0,,,Working time arrangement coverage: Full-time and part time workers | Currency: KGZ - Kyrgyzstani som (KGS),Data reference period: November | Reference group coverage: Employees
Lao People's Democratic Republic,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,2115601.114,Break in series,,Currency: LAO - Kip (LAK) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Latvia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1599.777,,,Currency: LVA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Lebanon,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,1215150.593,Break in series,,Currency: LBN - Lebanese pound (LBP) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Lesotho,LFS - Integrated Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,3062.682,,,Currency: LSO - Loti (LSL),Repository: ILO-STATISTICS - Micro data processing
Liberia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2017,1465.521,Break in series,,Currency: LBR - United States dollar (USD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Liechtenstein,ADM - Other Administrative records and related sources,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,7125.0,,,Central tendency measure: Median | Working time arrangement coverage: Full-time equivalents | Currency: LIE - Swiss franc (CHF),Reference group coverage: Employees
Lithuania,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1627.419,,,Currency: LTU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Luxembourg,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,6484.001,,,Currency: LUX - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
"Macao, China",LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,15000.0,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Currency: MAC - Pataca (MOP),"Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Madagascar,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2015,192285.158,,,Currency: MDG - Malagasy ariary (MGA),Repository: ILO-STATISTICS - Micro data processing
Malawi,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2013,16273.427,Break in series,,Currency: MWI - Malawian kwacha (MWK) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Malaysia,ES - Salaries and Wages Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2020,2889.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents | Currency: MYS - Ringgit (MYR),Employment definition: Excluding own-use production workers | Reference group coverage: Employees
Maldives,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,9804.345,,,Currency: MDV - Rufiyaa (MVR),Repository: ILO-STATISTICS - Micro data processing
Mali,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,65033.383,,,Currency: MLI - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Malta,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,2131.603,,,Currency: MLT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Marshall Islands,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,872.328,,,Currency: MHL - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Mauritania,HIES - Living Standards Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,46472.266,,,Currency: MRT - Ouguiya (MRU),Repository: ILO-STATISTICS - Micro data processing
