ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Malaysia,ES - Salaries and Wages Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2020,1837.898,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time equivalents | Currency: MYS - Ringgit (MYR),Employment definition: Excluding own-use production workers | Reference group coverage: Employees
Maldives,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,968.042,,,Currency: MDV - Rufiyaa (MVR),Repository: ILO-STATISTICS - Micro data processing
Mali,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,332.223,,,Currency: MLI - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Malta,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,3357.856,,,Currency: MLT - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Marshall Islands,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,878.07,,,Currency: MHL - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Mauritius,LFS - Continuous Multi-Purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,637.996,,,Currency: MUS - Mauritian rupee (MUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Mexico,LFS - National Occupation and Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,746.162,,,Currency: MEX - New Peso (MXN),Repository: ILO-STATISTICS - Micro data processing
Mongolia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,983.068,,,Currency: MNG - Tögrög (MNT),Repository: ILO-STATISTICS - Micro data processing
Montenegro,ES - Structure of Earnings Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2014,1575.403,,,Currency: MNE - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Myanmar,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2020,397.616,,,Currency: MMR - Kyat (MMK),Repository: ILO-STATISTICS - Micro data processing | Data reference period: First semester
